"id","teamId","teamName","playerName","position","age","power","division","sourceFile","createdAt","updatedAt"
cmny0jd6v10qxohpb1llb51fe,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,David Seaman,GK,25,90,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10qyohpbr9ojvaaq,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Jens Lehmann,GK,25,90,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10qzohpb0hjh7sga,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Lee Dixon,DR,25,87,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10r0ohpb9r2m2uih,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Lauren,DR,25,85,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10r1ohpbbjdke0er,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Tony Adams,DR,25,89,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10r2ohpbxq16s6po,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Sol Campbell,DR,25,91,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10r3ohpb379jr4pb,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Martin Keown,DC,25,88,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10r4ohpb1go32cok,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Kolo Toure,DC,25,86,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10r5ohpbq52rex4t,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Nigel Winterburn,DL,25,86,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10r6ohpb1h4l5v9b,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Ashley Cole,DL,25,90,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10r7ohpbxdcn3fj6,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Patrick Vieira,DMC,25,95,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10r8ohpbbz0xf7qm,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Gilberto Silva,DMC,25,88,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10r9ohpb8o8yqcnc,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Liam Brady,MC,25,90,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10raohpbmop4qd5o,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Cesc Fabregas,MC,25,91,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rbohpbys7eh4nn,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Dennis Bergkamp,AMC,25,95,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rcohpbdp1nfmn5,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Mesut Ozil,AMC,25,91,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rdohpbq17v9wjv,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Freddie Ljungberg,MR,25,87,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10reohpbw9l2cx2j,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Bukayo Saka,MR,25,90,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rfohpbtr9rqgmq,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Robert Pires,ML,25,92,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rgohpb2uq0g18u,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Alexis Sanchez,ML,25,90,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rhohpblwf02dgu,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Thierry Henry,FWC,25,99,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10riohpbuv15zdvv,cmny0jd5q10nmohpb6zg8rt0l,Arsenal,Ian Wright,FWC,25,89,1,D1-01-arsenal-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rjohpbz3fqdgfq,cmny0jd5q10noohpbyh0u3dw6,Aston Villa,Nigel Spink,GK,25,87,1,D1-02-aston-villa-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rkohpbqqs0iuzc,cmny0jd5q10noohpbyh0u3dw6,Aston Villa,Olof Mellberg,DR,25,86,1,D1-02-aston-villa-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rlohpbmh0pb7vp,cmny0jd5q10noohpbyh0u3dw6,Aston Villa,Paul McGrath,DR,25,87,1,D1-02-aston-villa-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rmohpbx2ii79h7,cmny0jd5q10noohpbyh0u3dw6,Aston Villa,Martin Laursen,DC,25,88,1,D1-02-aston-villa-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rnohpb36pp2iga,cmny0jd5q10noohpbyh0u3dw6,Aston Villa,Charlie Aitken,DL,25,85,1,D1-02-aston-villa-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10roohpb4oifv9xf,cmny0jd5q10noohpbyh0u3dw6,Aston Villa,Lee Hendrie,MR,25,83,1,D1-02-aston-villa-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rpohpbutxvvahy,cmny0jd5q10noohpbyh0u3dw6,Aston Villa,Gareth Barry,MC,25,88,1,D1-02-aston-villa-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rqohpbz8rg7z2w,cmny0jd5q10noohpbyh0u3dw6,Aston Villa,Dennis Mortimer,MC,25,87,1,D1-02-aston-villa-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rrohpb2jues5rp,cmny0jd5q10noohpbyh0u3dw6,Aston Villa,Jack Grealish,ML,25,87,1,D1-02-aston-villa-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rsohpbb8evn6lc,cmny0jd5q10noohpbyh0u3dw6,Aston Villa,Peter Withe,FWC,25,88,1,D1-02-aston-villa-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rtohpb5szw73lo,cmny0jd5q10noohpbyh0u3dw6,Aston Villa,Gabriel Agbonlahor,FWC,25,84,1,D1-02-aston-villa-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10ruohpb2uyi1b94,cmny0jd5r10nqohpb7buntmsp,Bournemouth,Aaron Ramsdale,GK,25,84,1,D1-03-bournemouth-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rvohpb4ez1huxx,cmny0jd5r10nqohpb7buntmsp,Bournemouth,Simon Francis,DR,25,83,1,D1-03-bournemouth-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rwohpbozu19tn6,cmny0jd5r10nqohpb7buntmsp,Bournemouth,Steve Cook,DR,25,83,1,D1-03-bournemouth-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rxohpbxxylyyl9,cmny0jd5r10nqohpb7buntmsp,Bournemouth,Nathan Ake,DC,25,88,1,D1-03-bournemouth-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10ryohpbuojqau9p,cmny0jd5r10nqohpb7buntmsp,Bournemouth,Charlie Daniels,DL,25,84,1,D1-03-bournemouth-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10rzohpbp81wl5av,cmny0jd5r10nqohpb7buntmsp,Bournemouth,Marc Pugh,MR,25,82,1,D1-03-bournemouth-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10s0ohpb2goflz95,cmny0jd5r10nqohpb7buntmsp,Bournemouth,Jefferson Lerma,MC,25,84,1,D1-03-bournemouth-legends.csv,"1,776,134,357,382","1,776,134,357,382"
cmny0jd6v10s1ohpb6cxm4sju,cmny0jd5r10nqohpb7buntmsp,Bournemouth,Lewis Cook,MC,25,83,1,D1-03-bournemouth-legends.csv,"1,776,134,357,382","1,776,134,357,382"
